"","step","mean_vegetation_volume","max_bird","dispersal_distance","habitat_radius","count_turtles","mean_habitat_of_patches"
"1881",1000,4.8,2,1,1,8,12.3582766439909
"2882",1000,5,2,1,1,6,13.4036281179138
"4316",1000,2.8,3,1,1,26,11.9784580498866
"5317",1000,3,3,1,1,57.75,14.3100907029478
"6318",1000,3.2,3,1,1,64.4444444444444,16.4336104812295
"7319",1000,3.4,3,1,1,120.125,21.1312358276644
"8320",1000,3.6,3,1,1,168.444444444444,26.3426555807508
"9321",1000,3.8,3,1,1,217.4,30.681179138322
"10322",1000,4,3,1,1,236.7,32.8741496598639
"11323",1000,4.2,3,1,1,311.1,38.934693877551
"12324",1000,4.4,3,1,1,354.8,42.9709750566893
"13325",1000,4.6,3,1,1,338.5,41.0707482993197
"14326",1000,4.8,3,1,1,407.6,47.0687074829932
"15327",1000,5,3,1,1,393.8,45.8138321995465
"16328",1000,2,4,1,1,49,8.7687074829932
"17329",1000,2.2,4,1,1,226,22.6478781988986
"18330",1000,2.4,4,1,1,296.777777777778,27.3434114386495
"19331",1000,2.6,4,1,1,399.5,34.4598639455782
"20332",1000,2.8,4,1,1,413,35.4204081632653
"21333",1000,3,4,1,1,496,40.0750566893424
"22334",1000,3.2,4,1,1,494.8,40.1092970521542
"23335",1000,3.4,4,1,1,524.1,41.9705215419501
"24336",1000,3.6,4,1,1,540.2,42.5893424036281
"25337",1000,3.8,4,1,1,557.2,44.1893424036281
"26338",1000,4,4,1,1,568.1,44.8208616780045
"27339",1000,4.2,4,1,1,584.3,45.5823129251701
"28340",1000,4.4,4,1,1,599.8,46.6947845804989
"29341",1000,4.6,4,1,1,598.5,46.678231292517
"30342",1000,4.8,4,1,1,617,47.4709750566893
"31343",1000,5,4,1,1,616.8,47.5913832199547
"32344",1000,2,5,1,1,510.2,32.865306122449
"33345",1000,2.2,5,1,1,567.3,35.4331065759637
"34346",1000,2.4,5,1,1,590.7,36.8274376417234
"35347",1000,2.6,5,1,1,646.6,39.7009070294785
